pair_id,mode,custom_score,biopython_score,score_match,custom_time_s,biopython_time_s
1,global,52,52.0,True,0.010177,0.022831
1,local,56,56.0,True,0.014676,9.2e-05
2,global,49,49.0,True,0.008376,3.3e-05
2,local,56,56.0,True,0.01296,6.1e-05
3,global,114,114.0,True,0.010276,0.000104
3,local,121,121.0,True,0.009672,4.9e-05
4,global,60,60.0,True,0.010603,5e-05
4,local,66,66.0,True,0.009256,5.2e-05
5,global,140,140.0,True,0.008729,4.7e-05
5,local,155,155.0,True,0.009769,7.2e-05
6,global,131,131.0,True,0.009207,4.7e-05
6,local,149,149.0,True,0.007335,4.6e-05
7,global,51,51.0,True,0.007368,2.8e-05
7,local,79,79.0,True,0.008222,4.7e-05
8,global,76,76.0,True,0.006857,2.8e-05
8,local,111,111.0,True,0.014254,5.7e-05
9,global,163,163.0,True,0.007985,4.2e-05
9,local,163,163.0,True,0.009107,4.5e-05
10,global,144,144.0,True,0.007143,4.6e-05
10,local,154,154.0,True,0.008518,5.2e-05
