pair_id,param_set,match,mismatch,gap,nw_score,nw_identity,nw_gaps,sw_score,sw_identity,sw_local_len
1,default,2,-1,-2,52,0.7209,24,56,0.7073,100
1,harsh_gap,2,-1,-6,6,0.4375,4,28,0.5789,38
1,lenient_mismatch,2,0,-2,80,0.5106,8,84,0.5106,100
1,strict_mismatch,1,-3,-2,-52,0.7619,28,7,1.0,7
3,default,2,-1,-2,114,0.8,6,121,0.8488,92
3,harsh_gap,2,-1,-6,90,0.8,6,106,0.9643,56
3,lenient_mismatch,2,0,-2,132,0.8,6,134,0.8161,91
3,strict_mismatch,1,-3,-2,23,0.9398,20,52,1.0,52
7,default,2,-1,-2,51,0.8026,28,79,0.8026,90
7,harsh_gap,2,-1,-6,-1,0.4205,4,46,0.7447,49
7,lenient_mismatch,2,0,-2,74,0.5529,10,96,0.7089,87
7,strict_mismatch,1,-3,-2,-37,0.8267,30,13,1.0,16
