pair_id,sequence,query_len,strand,score,pct_of_max_score,identity,aligned_len,coverage,genome_start,genome_end,found_in_mtDNA,search_time_s
1,seq1,98,reverse_complement,75,0.3826530612244898,0.7613636363636364,107,1.0918367346938775,3080,3178,False,3.649
1,seq2,98,forward,75,0.3826530612244898,0.7613636363636364,107,1.0918367346938775,3080,3178,False,3.669
2,seq1,97,reverse_complement,72,0.3711340206185567,0.7204301075268817,111,1.1443298969072164,6898,7005,False,3.422
2,seq2,93,forward,71,0.3817204301075269,0.7065217391304348,108,1.1612903225806452,6898,7005,False,3.172
3,seq1,94,forward,67,0.35638297872340424,0.6704545454545454,99,1.053191489361702,16269,16364,False,3.428
3,seq2,92,reverse_complement,69,0.375,0.75,102,1.108695652173913,727,821,False,3.148
4,seq1,94,forward,72,0.3829787234042553,0.7647058823529411,104,1.1063829787234043,6716,6814,False,3.41
4,seq2,89,forward,68,0.38202247191011235,0.7631578947368421,91,1.0224719101123596,13560,13640,False,3.071
5,seq1,95,reverse_complement,71,0.3736842105263158,0.7222222222222222,107,1.1263157894736842,5972,6075,False,3.349
5,seq2,84,forward,66,0.39285714285714285,0.7721518987341772,98,1.1666666666666667,5972,6065,False,4.0
6,seq1,91,reverse_complement,68,0.37362637362637363,0.7948717948717948,98,1.0769230769230769,6984,7069,False,4.415
6,seq2,79,forward,62,0.3924050632911392,0.7681159420289855,83,1.0506329113924051,6993,7069,False,3.636
7,seq1,92,forward,68,0.3695652173913043,0.788235294117647,109,1.184782608695652,12798,12904,False,4.258
7,seq2,88,reverse_complement,63,0.35795454545454547,0.7012987012987013,88,1.0,7733,7818,False,4.217
8,seq1,90,reverse_complement,69,0.38333333333333336,0.7307692307692307,90,1.0,11142,11225,False,4.378
8,seq2,85,forward,68,0.4,0.76,89,1.0470588235294118,11145,11225,False,4.169
9,seq1,94,reverse_complement,70,0.3723404255319149,0.7647058823529411,105,1.1170212765957446,5111,5207,False,4.755
9,seq2,90,forward,67,0.37222222222222223,0.7294117647058823,102,1.1333333333333333,5991,6088,False,4.521
10,seq1,94,reverse_complement,71,0.3776595744680851,0.7529411764705882,103,1.0957446808510638,5977,6075,False,4.908
10,seq2,86,forward,67,0.38953488372093026,0.7341772151898734,93,1.0813953488372092,5987,6075,False,4.094
